teta, ampiezza
0.3,-147.6
0.4,-137.2
0.5,-117.5
0.6,-92
0.7,-64.6
0.8,-38.7
0.9,-15.7
1,2.5
1.1,15.1
1.2,23
1.3,26.5
1.4,26.6
1.5,23.9
1.6,19.8
1.7,14.8
1.8,9.9
1.9,5.4
2,2
2.1,-0.7
2.2,-2.3
2.3,-3.1
2.4,-3.2
2.5,-3.1
2.6,-2.5
2.7,-1.8
2.8,-1.1
2.9,-0.5
3,0
3.1,0.5
3.2,0.7
3.3,0.9
3.4,0.9
3.5,0.9
3.6,0.9
3.7,0.9
3.8,0.9
3.9,0.7
4,0.7
