t;x
0;-0.0005633
0.0167;0.000541
0.0333;-0.0000486
0.05;-0.000299
0.0667;-0.000687
0.0833;-0.000988
0.1;-0.00120
0.117;-0.00135
0.133;-0.00161
0.15;-0.00188
0.167;-0.00196
0.183;-0.00203
0.2;-0.00200
0.217;-0.00199
0.233;-0.00191
0.25;-0.00183
0.267;-0.00175
0.283;-0.00153
0.3;-0.00152
0.317;-0.00136
0.333;-0.00132
0.35;-0.00126
0.367;-0.00122
0.383;-0.000969
0.4;-0.000831
0.417;-0.000631
0.433;-0.000338
0.45;0.0000666
0.467;0.000281
0.483;0.000530
0.5;0.000766
0.517;0.000967
0.533;0.00135
0.55;0.00159
0.567;0.00176
0.583;0.00193
0.6;0.00210
0.617;0.00209
0.633;0.00224
0.65;0.00249
0.667;0.00246
0.683;0.00253
0.7;0.00247
0.717;0.00243
0.733;0.00238
0.75;0.00220
0.767;0.00210
0.783;0.00198
0.8;0.00195
0.817;0.00169
0.833;0.00149
0.85;0.00134
0.867;0.00112
0.883;0.000872
0.9;0.000501
0.917;0.000265
0.933;-0.00000393
0.95;-0.000221
0.967;-0.000489
0.983;-0.000818
1;-0.00102
1.017;-0.00117
1.033;-0.00128
1.05;-0.00135
1.067;-0.00112
1.083;-0.00106
1.1;-0.000937
1.117;-0.000881
1.133;-0.000792
1.15;-0.000697
1.167;-0.000703
1.183;-0.000597
1.2;-0.000562
1.217;-0.000647
1.233;-0.000603
1.25;-0.000618
1.267;-0.000579
1.283;-0.000374
1.3;-0.000122
1.317;0.000150
1.333;0.000353
1.35;0.000542
1.367;0.000751
1.383;0.000916
1.4;0.000865
1.417;0.00113
1.433;0.000541
