t;x
0;-0.00133
0.0167;-0.00113
0.0333;-0.00104
0.05;-0.00108
0.0667;-0.000911
0.0833;-0.000562
0.1;-0.000230
0.117;-0.000116
0.133;0.00000389
0.15;0.0000271
0.167;-0.00133
0.183;-0.00123
0.2;-0.00113
0.217;-0.00117
0.233;-0.00121
0.25;-0.00120
0.267;-0.00121
0.283;-0.00117
0.3;-0.00119
0.317;-0.00121
0.333;-0.00127
0.35;-0.00130
0.367;-0.00147
0.383;-0.00156
0.4;-0.00169
0.417;-0.00293
0.433;-0.00300
0.45;-0.00323
0.467;-0.00355
0.483;-0.00392
0.5;-0.00416
0.517;-0.00433
0.533;-0.00399
0.55;-0.00408
0.567;-0.00417
0.583;-0.00428
0.6;-0.00431
0.617;-0.00431
0.633;-0.00448
0.65;-0.00434
0.667;-0.00428
0.683;-0.00426
0.7;-0.00413
0.717;-0.00398
0.733;-0.00389
0.75;-0.00378
0.767;-0.00374
0.783;-0.00369
0.8;-0.00356
0.817;-0.00399
0.833;-0.00385
0.85;-0.00375
0.867;-0.00365
0.883;-0.00293
0.9;-0.00286
0.917;-0.00276
0.933;-0.00259
0.95;-0.00247
0.983;-0.00293
1;-0.00285
1.017;-0.00271
1.033;-0.00269
1.05;-0.00270
1.067;-0.00272
1.083;-0.00272
1.1;-0.00269
1.117;-0.00254
1.133;-0.00259
1.15;-0.00264
1.167;-0.00267
1.183;-0.00254
1.2;-0.00255
1.217;-0.00252
1.233;-0.00234
1.25;-0.00208
1.267;-0.00186
1.283;-0.00177
1.3;-0.00172
1.317;-0.00162
1.333;-0.00153
1.35;-0.00162
1.367;-0.00169
1.383;-0.00176
1.4;-0.00184
1.417;-0.00188
1.433;-0.00205
1.45;-0.00219
1.467;-0.00133
1.483;-0.00159
1.5;-0.00180
1.517;-0.00222
1.533;-0.00250
1.55;-0.00277
1.567;-0.00311
1.583;-0.00353
1.617;-0.00452
1.633;-0.00483
1.65;-0.00558
1.667;-0.00586
1.683;-0.00633
1.7;-0.00662
1.717;-0.00683
1.733;-0.00700
1.75;-0.00665
1.767;-0.00679
1.783;-0.00681
1.8;-0.00689
1.817;-0.00684
1.833;-0.00683
1.85;-0.00678
1.867;-0.00676
1.883;-0.00669
1.9;-0.00657
1.917;-0.00636
1.933;-0.00558
1.95;-0.00549
1.967;-0.00543
1.983;-0.00529
2;-0.00505
2.017;-0.00482
2.033;-0.00460
2.05;-0.00438
2.067;-0.00387
2.083;-0.00365
2.1;-0.00325
2.117;-0.00288
2.133;-0.00256
2.15;-0.00212
2.167;-0.00176
2.183;-0.00155
2.2;-0.00128
2.217;-0.000863
2.233;-0.000676
2.25;-0.000520
2.267;-0.000389
2.283;-0.000450
2.3;-0.000430
2.317;-0.000484
2.333;-0.000390
2.35;-0.000798
2.367;-0.000770
2.383;-0.000724
2.4;-0.000587
2.417;-0.000627
2.433;-0.000628
2.45;-0.000584
2.467;-0.000598
2.483;-0.000490
2.5;-0.000491
2.517;-0.000504
2.533;-0.000573
2.55;-0.000673
2.567;-0.000757
2.583;-0.000855
2.6;-0.00103
2.617;-0.00133
2.633;-0.00159
2.65;-0.000798
2.667;-0.00102
2.683;-0.00146
2.7;-0.00187
2.717;-0.00243
2.733;-0.00291
2.75;-0.00322
2.767;-0.00358
2.783;-0.00403
2.8;-0.00452
2.817;-0.00474
2.833;-0.00496
2.85;-0.00537
2.867;-0.00571
2.883;-0.00452
2.9;-0.00474
2.917;-0.00497
