t;y
0;-0.0005633
0.0167;-0.0008884
0.0333;-0.002453
0.05;-0.005453
0.0667;-0.008899
0.0833;-0.01247
0.1;-0.01574
0.117;-0.01846
0.133;-0.02048
0.15;-0.02055
0.167;-0.01946
0.183;-0.01733
0.2;-0.01403
0.217;-0.01036
0.233;-0.006823
0.25;-0.003595
0.267;-0.001254
0.283;-0.0003185
0.3;-0.0005516
0.317;-0.001812
0.333;-0.004335
0.35;-0.007653
0.367;-0.01065
0.383;-0.01407
0.4;-0.01704
0.417;-0.01907
0.433;-0.0193
0.45;-0.01869
0.467;-0.01707
0.483;-0.01434
0.5;-0.01086
0.517;-0.007035
0.533;-0.003889
0.55;-0.001517
0.567;-0.0004193
0.583;-0.0005359
0.6;-0.001775
0.617;-0.004218
0.633;-0.007356
0.65;-0.0111
0.667;-0.01432
0.683;-0.01744
0.7;-0.01961
0.717;-0.02037
0.733;-0.01986
0.75;-0.01816
0.767;-0.01543
0.783;-0.01163
0.8;-0.00861
0.817;-0.00514
0.833;-0.002349
0.85;-0.0007065
0.867;-0.0003646
0.883;-0.001738
0.9;-0.003625
0.917;-0.006835
0.933;-0.01038
0.95;-0.01373
0.967;-0.01717
0.983;-0.01928
1;-0.02017
1.017;-0.01974
1.033;-0.01807
1.05;-0.01548
1.067;-0.012
1.083;-0.008336
1.1;-0.005009
1.117;-0.002283
1.133;-0.0004375
1.15;0.00004749
1.167;-0.0005041
1.183;-0.002579
1.2;-0.005466
1.217;-0.008917
1.233;-0.01249
1.25;-0.01581
1.267;-0.01837
1.283;-0.01906
1.3;-0.01915
1.317;-0.01817
1.333;-0.016
1.35;-0.01285
1.367;-0.009412
1.383;-0.006193
1.4;-0.003459
1.417;-0.001243
1.433;-0.0005633
